,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
70,MetachartAI,MetaChart is the first free Technical Analysis as a Service (TAaS) platform for traders. We augment pro traders with market geometry and machine learning tools.,Miami,7,64,318,0,"Here's a some of our member's #profits from last week
Don't be the person that misses out.
Join us today, totally free, no trial, no BS. 
#trading #OptionsTrading #tradealert 
$XOM $AAPL $DIS 
https://t.co/MetwllYz1G https://t.co/T763oOGJeG","['profits', 'trading', 'OptionsTrading', 'tradealert']"
71,escapebusiness,Escape Business Solutions offers Enterprise and Small Business IT solutions.,Delivers Globally,1728,474,7076,157,"Total Returns, last 7 years...
Bitcoin $BTC: +16,986%
NVIDIA $NVDA: +3,614%
Tesla $TSLA: +2,183%
Amazon $AMZN: +649%
Microsoft $MSFT: +631%
Apple $AAPL: +454%
Google $GOOGL: +342%
Nasdaq 100 $QQQ: +220%
Facebook $FB: +127%
Gold $GLD: +54%
Cash $BIL: +5%
Twitter $TWTR: +0%",[]
72,ma_lick,Masters in Financial Markets ‘17 @Rhodes_Uni | #Hedging & #Speculating | Profits & Lessons | @JSE_Group Licensed Trader & Investor | Boxing | Fishing | Arts 🎭,Within the Markets,376,204,5704,157,"Total Returns, last 7 years...
Bitcoin $BTC: +16,986%
NVIDIA $NVDA: +3,614%
Tesla $TSLA: +2,183%
Amazon $AMZN: +649%
Microsoft $MSFT: +631%
Apple $AAPL: +454%
Google $GOOGL: +342%
Nasdaq 100 $QQQ: +220%
Facebook $FB: +127%
Gold $GLD: +54%
Cash $BIL: +5%
Twitter $TWTR: +0%",[]
73,SyFySi,,,56,88,6570,9,"TODAYs Recap!

$FB puts paid 190%💰💵🔥
$QCOM puts paid 170%💰💵🔥
$SHOP puts paid 90%💵🔥
$UAL calls paid 75%🔥
$CPNG puts paid 70%🔥

🚨SHOW LOVE🚨
🔁60 Retweets For MONDAYs FREE PICKS!

$SPY $TSLA $SHOP $AMZN $ROKU $NFLX $AAPL $NVDA $AMD $UPST $LCID https://t.co/bkQB0VF4z7",[]
74,CryptoI10257503,"Check out our community of real traders helping each other profit. Education, live lessons, alerts, and more.
https://t.co/1oj9okrJ09",,0,58,23832,0,"$AAPL Guys, Don't miss the next move in a few hours.,...~
https://t.co/zqGskOKhdC",[]
75,SyFySi,,,56,88,6570,9,"TODAYs Recap!🔥

$DWAC puts 185%💰💵🔥
$ZIM puts 133%💰💵🔥
$DWAC puts overnight 105%💰💵🔥
$NFLX puts paid 60%💵🔥

🚨SHOW LOVE🚨
🔁60 Retweets For TOMORROWs FREE PICKS!

$SPY $TSLA $SHOP $AMZN $ROKU $NFLX $AAPL $NVDA $AMD $UPST $LCID https://t.co/hbxaBCM6Dx",[]
76,ibrahim_raziya,,,229,141,2375,2,"Do you think $AAPL should buyout $NFLX, apple needs content and Netflix needs user growth ?",[]
77,Johnhester21,I am a full time blogger & crypto miner. Technical analysis & charts are the foundation to my trading. I enjoy teaching & helping others.,"New York, USA",2,12360,53,1,Anyone else have this voice in their head??? 🤦‍♂️ $GME $AMC $SNDL $PLTR $SOS $ZOM $NAKD $CTRM $AAPL $NIO $TSLA $GNUS $HMBL $INND https://t.co/sQV1U7F8aO,[]
78,Gambiste1,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. retweets are not endorsment. Find hot stocks with @GambisteFinance.",,0,15990,1731850,1,“The voices” are a very real thing for us traders! 😂🤷🏼‍♂️🤦‍♂️🤡 $TSLA $ZOM $AMC $GME $SNDL $NAKD $AAPL $CCIV $PLTR $SOS $NIO $NNDM $NLST https://t.co/cWILDbhvOd,[]
79,Gambiste1,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. retweets are not endorsment. Find hot stocks with @GambisteFinance.",,0,15990,1731850,1,"Longtime student and member of the community, Dan, continues to inspire with his results! He’s been doing it for years now! Well done Dan and thanks for keeping us all motivated and inspired 🙏 $AMC $GME $ZOM $SOS $PLTR $TSLA $SNDL $XL $AAPL $NFLX $EEENF $NIO $LI $CCL $AMZN $FB https://t.co/3fkMEWeqfz",[]
80,PSuiteNetwork,#WorkingClass | Tweets are not Buy/Sell Advice | Do Your Own Research. Trust No Hedge Fund. Take Profits. Don't Be Greedy.,NJ NYC Philly AC Central NJ,4494,2031,153957,1,"Trending Stocks on #fintwit: 

Source: https://t.co/cWJOwWSb0I 

1. $TSLA 🥇
2. $SPX 🥈
3. $DXY 🥉
4. $AAPL
5. $SPY
6. $QQQ
7. $MSFT
8. $AMZN
9. $TWTR
10. $NTDOY

( Sorted by most recent ) https://t.co/SKONCfzZZU",['fintwit']
81,PSuiteNetwork,#WorkingClass | Tweets are not Buy/Sell Advice | Do Your Own Research. Trust No Hedge Fund. Take Profits. Don't Be Greedy.,NJ NYC Philly AC Central NJ,4494,2031,153957,1,"Trending Stocks on #fintwit: 

Source: https://t.co/cWJOwWSb0I 

1. $RIBT 🥇
2. $TWTR 🥈
3. $TSLA 🥉
4. $SPX
5. $DXY
6. $QQQ
7. $AAPL
8. $SPY
9. $MSFT
10. $NTDOY

( Sorted by most recent ) https://t.co/vQFP8rmY3M",['fintwit']
82,trendwhizo,"Global, high Sharpe ratio, Alpha extracting Long/Short Trader. #quant asset allocator #fintwit Trade at your own risk & analysis. No financial advice.",,103,3040,6163,0,"$CDNS : 3rd earnings trade win for the season with @cadence 👇📈

Score 3-2 

Coming up: $ADM $ARCH $GOOGL $amzn $fb $aapl $msft … 

#semiconductors #chipshortage #chips #trading #cadence https://t.co/LEEYPiOPwF","['semiconductors', 'chipshortage', 'chips', 'trading', 'cadence']"
83,Johnhester21,I am a full time blogger & crypto miner. Technical analysis & charts are the foundation to my trading. I enjoy teaching & helping others.,"New York, USA",2,12360,53,1,"Longtime student and member of the community, Dan, continues to inspire with his results! He’s been doing it for years now! Well done Dan and thanks for keeping us all motivated and inspired 🙏 $AMC $GME $ZOM $SOS $PLTR $TSLA $SNDL $XL $AAPL $NFLX $EEENF $NIO $LI $CCL $AMZN $FB https://t.co/3fkMEWeqfz",[]
84,RoseTho28983135,,,1,0,173,0,@f4u990 My biggest drop!! @DAiutoloLiliana @ArelhyRR @SangJiKim2 @anfauglit @alnafea81 @44k45h_ @Swazygreatness @JacoboMedina12 @JB75387696 @RizonaAT @Dads_finance @Erolbasut3 @Daniel55681226 @SketoTolulope @AAPL_Raynor @_Corbeo @CIdestrom @Kasper_1506,[]
85,xglobalmarkets,"XGLOBAL Markets is a Multi-Regulated broker, offering Forex & CFD trading on +100 trading symbols in 5 account currencies. 53.33% of retail clients lose money.",Limassol,2632,4501,38443,1,"Trending Stocks on #fintwit: 

1. $RIBT 🥇
2. $TWTR 🥈
3. $TSLA 🥉
4. $SPX
5. $DXY
6. $QQQ
7. $AAPL
8. $SPY
9. $MSFT
10. $NTDOY

#investing #stocks #wallstreetbets","['fintwit', 'investing', 'stocks', 'wallstreetbets']"
86,Cryptodaily243,"#SafeMoon #BULL 🐃🐃 #Follow_Me Strong Hodler 100 Billion SafeMoon 🔥💸🚀💎💎🤑🤑🤑
Hodl $0.005 Anything is Possible like #Dogecoin #Safemoon #Bitcoin #babydoge",World,5003,1658,5874,157,"Total Returns, last 7 years...
Bitcoin $BTC: +16,986%
NVIDIA $NVDA: +3,614%
Tesla $TSLA: +2,183%
Amazon $AMZN: +649%
Microsoft $MSFT: +631%
Apple $AAPL: +454%
Google $GOOGL: +342%
Nasdaq 100 $QQQ: +220%
Facebook $FB: +127%
Gold $GLD: +54%
Cash $BIL: +5%
Twitter $TWTR: +0%",[]
87,EmilioBurton4,Most profitable chat room . We’re operating at an 94% success history with an average profit of 25% in 4 days.. Get today winning alerts*,,64,10,1224,0,$AAPL ~Earnings reports today before the markets open......... https://t.co/SBgLO8pE8a,[]
88,adam_y23,Ed,,228,51,2703,6,"🤑 How Big Tech Makes Their Billions 👇

$AMZN $AAPL $GOOGL $MSFT https://t.co/l1FsB7222i",[]
89,Bobby_29,"Investor, Portfolio Management and Technical Analysis , Macro Investment Analysis . Marathon Runner . Views are my own, always do your own due diligence.",,801,57,1981,0,"@7LukeHallard $SE
$CRWD
$AAPL
$SHOP
$ABNB",[]
90,nothakeem_,Ah lus-Sunnah wa’l-Jamaa’ah 🕋,South-West London,314,33,157,6,"🤑 How Big Tech Makes Their Billions 👇

$AMZN $AAPL $GOOGL $MSFT https://t.co/l1FsB7222i",[]
91,DefinitionBot,"Stock Mentions on Twitter

Trading Pro System Plus🆕 → https://t.co/5r7K1VqGg4",,3,752,2887,0,"Count of mentions for the tickers in last 1 hr

1. $TSLA: 99 (-5)
2. $AMC: 54 (3)
3. $AAPL: 31 (-13)
4. $MSFT: 31 (-1)
5. $NIO: 20 (7)
6. $AMZN: 19 (-10)
7. $FB: 17 (-16)
8. $NVDA: 14 (-1)

Top speaker: @unusual_whales 🚀 $FB",[]
92,CryptoKknight,,,393,14,1231,0,"@NodeBaron most of the node projects are having some fancy tiers, boosters, mechanisms to make it LOOK interesting BUT nothing for earning anything tangible. They don’t offer any reason to HODL. Why $AAPL don’t have claim tax ?",[]
93,duvaro_io,"Your Trusted Trading Partner! Trade Anywhere, Anytime...",,77,345,46,0,"📈 Apple Inc (NASDAQ: AAPL)’s 2022 first fiscal quarter results are the best the firm has recorded in half a decade. 
📈 Apple‘s gross margin was 43.8%, buoyed by an 11% jump in its previous quarter’s revenues. 

@duvaro_io 
#stocks #stockstobuy #stockstrader #stocksmarket https://t.co/PSK63bWLy7","['stocks', 'stockstobuy', 'stockstrader', 'stocksmarket']"
94,sshaunak1,,,2746,447,6869,84,"2022 Returns...
$TWTR: +17%
$TSLA: -6%
$AAPL: -9%
$AMZN: -13%
$GOOGL: -17%
$MSFT: -18%
$NOW: -28%
$ADBE: -28%
$CRM: -32%
$NVDA: -34%
$SQ: -35%
$TEAM: -35%
$SNAP: -36%
$AMD: -37%
$MRNA: -44%
$FB: -45%
$PINS: -46%
$SNOW: -47%
$PYPL: -54%
$NFLX: -65%
$SHOP: -66%
$RIVN: -67%",[]
95,Eddi3P,Not a Financial Advisor. MGMT: @wearetheyokai. Options/Swing trading 📈 ♉️,"Orlando, FL",553,239,10455,1,"This week, &gt; 25% of $SPY total weight will report earnings, nearly 50% for $QQQ. Big week for the markets. 
$GOOG $MSFT $FB $AMZN $AAPL",[]
96,Johnhester21,I am a full time blogger & crypto miner. Technical analysis & charts are the foundation to my trading. I enjoy teaching & helping others.,"New York, USA",2,12360,53,1,“The voices” are a very real thing for us traders! 😂🤷🏼‍♂️🤦‍♂️🤡 $TSLA $ZOM $AMC $GME $SNDL $NAKD $AAPL $CCIV $PLTR $SOS $NIO $NNDM $NLST https://t.co/cWILDbhvOd,[]
97,stock_invest_,"Stocks to hold from my own perspective.
Time pays off!",,59,8,71,27,"My top 10 positions by market value:

1. $HD 🔨
2. $MSFT ☁️
3. $V 💳
4. $AAPL 🍎
5. $CAT 🐛
6. $SBUX ☕️
7. $TGT 🎯
8. $MCD 🍟
9. $MDT 🩺
10. $O 🏪

What am I missing?

👇",[]
98,stock_invest_,"Stocks to hold from my own perspective.
Time pays off!",,59,8,71,16,"Some dividend stocks in the information technology sector💰

$TXN Texas Instruments
$CSCO Cisco 
$AAPL Apple
$IBM Int. Business Machines
$MSFT Microsoft 
$INTC Intel 
$ORCL Oracle
$QCOM Qualcomm
$MA Mastercard
$V Visa

Are you holding any of these?",[]
99,trndtrader,"CEO of https://t.co/wvxCebETri | Tʀᴀᴅᴇʀ ꜰᴏʀ 25 Yᴇᴀʀs | TA 80%-Fᴜɴᴅᴀᴍᴇɴᴛᴀʟs 20% | Fᴏʀᴍᴇʀ Mᴀʀᴋᴇᴛ Mᴀᴋᴇʀ / Aᴄᴛɪᴠᴇ Tʀᴀᴅᴇʀ, Sʜᴀʀɪɴɢ ᴍʏ Exᴘᴇʀɪᴇɴᴄᴇ",https://discord.io/trndtrading,432,2707,66817,0,"[Scan results - #FTX - 15m]

Top 5 bullish trend on #PERP pair
1: $BAL
2: $GRT
3: $BCH
4: $LEO
5: $BTC

Top 5 bullish trend on #USD pair
1: $GBTC
2: $BITO
3: $ETHE
4: $HOOD
5: $AAPL

All #FTX results: https://t.co/ypxjbS79IW
Not buy signals","['FTX', 'PERP', 'USD', 'FTX']"
